id,label
0001,47
0002,51
0003,20
0004,58
0005,8
0006,34
0007,56
0008,16
0009,50
0010,24
0011,51
0012,16
0013,24
0014,14
0015,5
0016,18
0017,50
0018,40
0019,28
0020,27
0021,28
0022,55
0023,3
0024,14
0025,34
0026,53
0027,64
0028,5
0029,12
0030,55
0031,40
0032,28
0033,16
0034,53
0035,64
0036,25
0037,9
0038,25
0039,37
0040,26
0041,38
0042,19
0043,23
0044,17
0045,62
0046,40
0047,5
0048,41
0049,55
0050,35
0051,5
0052,16
0053,40
0054,0
0055,59
0056,46
0057,6
0058,15
0059,2
0060,29
0061,16
0062,64
0063,9
0064,6
0065,6
0066,0
0067,14
0068,46
0069,5
0070,16
0071,12
0072,0
0073,5
0074,11
0075,4
0076,25
0077,49
0078,53
0079,5
0080,20
0081,14
0082,0
0083,0
0084,52
0085,24
0086,55
0087,32
0088,46
0089,6
0090,29
0091,25
0092,58
0093,61
0094,39
0095,1
0096,22
0097,44
0098,2
0099,43
0100,18
0101,31
0102,0
0103,0
0104,30
0105,16
0106,4
0107,1
0108,43
0109,52
0110,3
0111,8
0112,48
0113,16
0114,28
0115,29
0116,16
0117,56
0118,16
0119,35
0120,46
0121,4
0122,36
0123,15
0124,5
0125,17
0126,5
0127,30
0128,52
0129,54
0130,1
0131,31
0132,48
0133,4
0134,36
0135,18
0136,46
0137,32
0138,50
0139,56
0140,44
0141,45
0142,51
0143,36
0144,35
0145,59
0146,54
0147,44
0148,5
0149,42
0150,25
0151,37
0152,39
0153,23
0154,61
0155,12
0156,7
0157,61
0158,1
0159,6
0160,53
0161,58
0162,20
0163,20
0164,46
0165,19
0166,52
0167,18
0168,42
0169,58
0170,51
0171,51
0172,56
0173,61
0174,40
0175,30
0176,54
0177,61
0178,47
0179,9
0180,51
0181,37
0182,28
0183,27
0184,10
0185,63
0186,25
0187,46
0188,29
0189,16
0190,43
0191,64
0192,40
0193,43
0194,1
0195,48
0196,18
0197,52
0198,54
0199,39
0200,5
0201,25
0202,50
0203,25
0204,12
0205,56
0206,46
0207,38
0208,42
0209,10
0210,5
0211,48
0212,61
0213,0
0214,53
0215,16
0216,30
0217,54
0218,47
0219,59
0220,20
0221,48
0222,12
0223,47
0224,37
0225,16
0226,36
0227,41
0228,19
0229,36
0230,20
0231,39
0232,1
0233,44
0234,54
0235,2
0236,16
0237,0
0238,57
0239,8
0240,23
0241,49
0242,5
0243,4
0244,39
0245,7
0246,44
0247,53
0248,54
0249,32
0250,39
0251,0
0252,63
0253,35
0254,56
0255,16
0256,6
0257,57
0258,58
0259,17
0260,63
0261,44
0262,39
0263,25
0264,36
0265,24
0266,41
0267,46
0268,60
0269,31
0270,46
0271,4
0272,7
0273,16
0274,41
0275,9
0276,3
0277,7
0278,21
0279,3
0280,21
0281,54
0282,36
0283,41
0284,41
0285,63
0286,62
0287,25
0288,36
0289,1
0290,21
0291,38
0292,17
0293,2
0294,14
0295,63
0296,43
0297,48
0298,57
0299,44
0300,16
0301,40
0302,36
0303,24
0304,46
0305,43
0306,8
0307,5
0308,13
0309,44
0310,52
0311,61
0312,52
0313,1
0314,43
0315,36
0316,57
0317,30
0318,1
0319,46
0320,46
0321,9
0322,5
0323,52
0324,16
0325,61
0326,24
0327,52
0328,16
0329,15
0330,1
0331,20
0332,16
0333,36
0334,6
0335,19
0336,54
0337,46
0338,46
0339,13
0340,25
0341,34
0342,45
0343,48
0344,40
0345,23
0346,27
0347,51
0348,56
0349,2
0350,36
0351,25
0352,31
0353,45
0354,23
0355,27
0356,47
0357,23
0358,53
0359,52
0360,46
0361,18
0362,9
0363,12
0364,28
0365,12
0366,15
0367,56
0368,21
0369,35
0370,63
0371,46
0372,6
0373,10
0374,9
0375,4
0376,6
0377,13
0378,53
0379,48
0380,64
0381,60
0382,34
0383,3
0384,23
0385,16
0386,37
0387,7
0388,0
0389,61
0390,23
0391,7
0392,63
0393,47
0394,60
0395,4
0396,45
0397,31
0398,37
0399,54
0400,45
0401,55
0402,37
0403,16
0404,24
0405,49
0406,17
0407,26
0408,52
0409,16
0410,5
0411,41
0412,52
0413,64
0414,35
0415,8
0416,3
0417,63
0418,2
0419,6
0420,40
0421,27
0422,59
0423,18
0424,36
0425,24
0426,41
0427,6
0428,46
0429,7
0430,18
0431,64
0432,26
0433,16
0434,26
0435,38
0436,52
0437,56
0438,0
